name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Reclaimed Advanced Targeting Core,reclaimedadvancedcore,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ReclaimedAdvancedTargetingCore,"Throughout this ship there are signs of an extensive data-wire system hidden behind internal plating, tracing back to a Paragon's ripped out and repurposed Advanced Targeting Core.
The Ship is too large to receive the full benefit from the already strained core, but it has been directed to focus more of its processing capabilities into assisting point defense weaponry than it otherwise would,
reducing  the range defecit such weapons receive.

Extends the range of ballistic and energy weapons by %s. The range of point-defense weapons is only extended by %s.

Precludes the installation of a Dedicated Targeting Core or an Integrated Targeting Unit.",Greatly extends non-missile weapon range.,graphics/LTA/hullmods/reclaimed_advanced_targeting_core.png
Reckless Engineering,recklessengineering,,,,,,,,TRUE,,0,0,0,0,data.hullmods.RecklessEngineering,"This hull's systems have been recklessly modified and extended, parts of dozens of different ships litter the hull, creating flux coil imbalances and inconsistent power lines, sacrificing nearly everything in exchange for enabling a highly unstable, extremely unsafe amelioration of the ships systems, likely without certified engineering oversight. 

Its systems appear to work correctly under routine conditions, but have a significant chance of critical malfunction when stressed.

Increases the phase-time bonus by %s, increases the maintenance cost by %s, recovery cost by %s and increases the rate at which combat readiness degrades by %s.",,graphics/hullmods/illadvised.png
Reckless Engineering,recklessengineeringnonphase,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.RecklessEngineeringNonPhase,"This hull's systems have been recklessly modified and extended, with armor plating stitched on top of shell-accelerants, a missile micro-factory and copious flux injectors, sacrificing nearly everything in exchange for enabling a highly unstable, extremely unsafe amelioration of the ships systems, likely without certified engineering oversight. 

Its systems appear to work correctly under routine conditions, but have a significant chance of critical malfunction when stressed.

Increases the damage dealt by all ordnance by %s, slowly reloads missile ordnance while increasing their fire-rate by %s, increases the maintenance cost by %s, recovery cost by %s and increases the rate at which combat readiness degrades by %s.",,graphics/hullmods/illadvised.png
Reckless Engineering,recklessengineeringnonphasenomalfunctions,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.RecklessEngineeringNonPhaseNoMalfunctions,"This hull's systems have been recklessly modified and extended, with armor plating stitched on top of shell-accelerants, a missile micro-factory and copious flux injectors, sacrificing nearly everything in exchange for enabling a highly unstable, extremely unsafe amelioration of the ships systems, likely without certified engineering oversight. 

Increases the damage dealt by all ordnance by %s, slowly reloads missile ordnance while increasing their fire-rate by %s, increases the maintenance cost by %s, recovery cost by %s and increases the rate at which combat readiness degrades by %s.",,graphics/hullmods/illadvised.png
Patchwork Heavy Ballistics Integration,PatchworkBallisticsIntegration,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.PatchworkBallisticsIntegration,"Engineers have attempted to aid in the utilization of this hull's large weapons emplacement and only partially succeeded, with various sizes of ammo lines linked in a complicated, low-performance array that takes a long time to filter in shells. Despite this it is still capable of taking on nearly any heavy ballistic weapon, making it far less overwhelming to work with as a small crew, and as such the patchwork system has stuck.

Reduces the ordnance point cost of large ballistic weapons by %s. Decreases weapon rate of fire by %s.","Reduces ordnance point cost of large ballistic weapons. In addition, reduces fire-rate of large ballistic weapons.",graphics/LTA/hullmods/patchwork_ballistics_integration.png
Retrofitted Accelerators,RetrofittedAccelerators,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.RetrofittedAccelerators,"This ship has been thoroughly 'overhauled' by its Pirate creators, retrofitted with an array of flux accelerators and ammo feeders.
This somewhat miraculously has produced affable results, increasing the firing clock speed for projectile weapons on board by %s.

Along with these benefits, makeshift armor rigging has been attached to various high-flux and high-heat components, reducing the sensor profile of the ship by %s and increasing the durability of engine machinery by %s.

Unfortunately, integrating nearly any Ballistic or Energy weapon into these systems is a nightmare, making weapons installations %s/%s/%s more expensive.","Increases the ordnance point cost of all weapons. In addition, increases fire-rate of all weapons and increases engine durability, while reducing sensor profile.",graphics/LTA/hullmods/retrofitted_accelerators.png
Permanent Overdrive,PermanentOverdrive,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.PermanentOverdrive,"A convoluted, winding array of various ammo feeders and flux buffers litter this ship.
This somewhat miraculously has produced highly affable results, increasing the firing clock speed for all weapons on board by %s.

Unfortunately, due to the ridiculously overbearing tasks involved in running weapons on these modifications, all weapons on board turn %s slower.

Additionally, integrating nearly any Ballistic, Missile or Energy weapon into these systems is an absolute nightmare, making weapons installations %s/%s/%s more expensive.","Increases the ordnance point cost of all weapons. In addition, increases fire-rate of all weapons and reduces weapon turn-rate.",graphics/LTA/hullmods/permanent_overdrive.png
Improvised Shield Hardeners,improvisedshieldimprovements,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ImprovisedShieldImprovements,"The shield generator on this module has been altered extensively, with vast layers of flux dampeners coating it in an almost incoherent lattice, sprouting cabling that spans the predominance of the interior space.

The disorderly and expansive sprawl of wiring and fluxwork precludes the installation of any additional shield modifications.

Reduces the amount of damage taken by shields by %s. Also reduces the chance that shields will be pierced by EMP arcs from weapons like the Ion Beam.","Increases shield hardness by a small percent, but prevents any additional shield modifications.",graphics/LTA/hullmods/improvised_shield_improvements.png
Diadem Point Defense Computer,diademcore,,,,,,,,TRUE,,0,0,0,0,data.hullmods.DiademCore,"The Diadem contains an old-fashioned binary supercomputer routed through all of its internal weaponry to increase the effectiveness of its point defense guns.

Extends the range of point defense weapons by %s.
",Greatly extends point defense weapon range.,graphics/LTA/hullmods/reclaimed_advanced_targeting_core.png
Damaged Diadem Point Defense Computer,diademcoredamaged,,,,,,,,TRUE,,0,0,0,0,data.hullmods.DiademCoreDamaged,"This Diadem contains a damaged or otherwise defective old-fashioned binary supercomputer wedged in between stockpiles of annihilator rockets. This supercomputer is routed through its point defense weaponry, increasing their effectiveness by a notable margin despite its damage.

Extends the range of point defense weapons by %s.
",Greatly extends point defense weapon range.,graphics/LTA/hullmods/reclaimed_advanced_targeting_core.png
