name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
#Epattcud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-I 'Processed',LTA_Epattcudi,Scrapship Destroyer,Epattcud,burndrive,6,5000,750,4000,9000,250,90,,100,25,15,15,15,1500,FRONT,,120,0.45,1.2,,,60,80,100,100,2,50,8,30000,5,12,540,0.25,8,8,HIDE_IN_CODEX,"LTA_Epattcud_bp, rare_bp",,0.8,2,3,666
E-II 'Crab',LTA_Epattcudii,Scrapship Cruiser,Epattcud,drone_pd_x2,12,10000,1000,9000,9000,450,125,,50,20,20,12,12,2100,FRONT,,150,0.5,1,,,150,250,125,125,4,31,8,92500,4,12,540,0.25,22,22,HIDE_IN_CODEX,"LTA_Epattcud_bp, rare_bp",,0.4,2,3,666
E-III 'Foraged',LTA_Epattcudiii,Scrapship Cruiser,Epattcud,forgevats,12,9000,900,8000,9000,350,105,,45,25,15,20,20,2000,FRONT,,90,0.45,1,,,100,200,100,100,3,33,8,85000,5,12,540,0.25,15,15,HIDE_IN_CODEX,"LTA_Epattcud_bp, rare_bp",,0.4,2,3,666
E-IV 'Gunner',LTA_Epattcudiv,Scrapship Destroyer,Epattcud,ammofeed,8,4500,500,4000,3333,240,90,,70,30,20,20,20,500,FRONT,,120,0.4,1.2,,,50,90,80,80,1.5,53,9,28000,5,12,360,0.25,7,7,HIDE_IN_CODEX,"LTA_Epattcud_bp, rare_bp",,0.8,2,3,666
E-V 'Hacksaw',LTA_Epattcudv,Scrapship Cruiser Carrier,Epattcud,drone_pd_x2,17,10000,1250,5000,4000,250,135,5,45,20,10,12,12,2500,OMNI,,90,0.4,1.2,,,200,300,250,250,5,50,8,110000,4,12,540,0.25,20,20,"CARRIER, HIDE_IN_CODEX","LTA_Epattcud_bp, rare_bp",,0.4,2,3,666
E-VI 'Mitigator',LTA_Epattcudvi,Scrapship Warship,Epattcud,burndrive,25,20000,1750,16000,15000,800,340,2,30,10,10,6,4,3500,OMNI,,120,0.4,1,,,650,1300,300,700,15,47,7,320000,3,12,720,0.25,40,40,HIDE_IN_CODEX,"LTA_Epattcud_bp, rare_bp",0.75,0.4,2,4,666
E-VII 'Condite',LTA_Epattcudvii,Scrapship Cruiser Carrier,Epattcud,burndrive,14,9000,650,8000,9000,350,140,3,40,20,10,12,10,2500,FRONT,,90,0.4,1,,,200,300,150,150,4,38,8,110000,4,12,540,0.25,18,18,"CARRIER, COMBAT, HIDE_IN_CODEX","LTA_Epattcud_bp, rare_bp",,0.4,2,3,666
E-VII 'Roost',LTA_Epattcudviii,Scrapship War Cruiser Carrier,Epattcud,thermiteflares,18,12000,1000,10000,12000,400,175,4,40,15,10,7,6,2750,FRONT,,120,0.4,1,,,200,600,200,160,4,40,8,200000,4,12,540,0.25,25,25,"CARRIER, COMBAT, NO_AUTO_ESCORT, HIDE_IN_CODEX","LTA_Epattcud_bp, rare_bp",0.75,0.4,2,3,666
E-IX 'Maw',LTA_Epattcudix,Scrapship Heavy Frigate,Epattcud,maneuveringjets,6,2200,500,3000,1750,200,55,,100,110,90,60,90,300,FRONT,,180,0.4,0.9,,,20,50,40,25,1,25,9,8500,8,10,240,0.25,4,4,HIDE_IN_CODEX,"LTA_Epattcud_bp, rare_bp",0.75,0.4,2,2,666
