name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Reclaimed Doom Mine Layer,LTA_reclaimedminelayer,0,,200000,2500,,3000,,25,30,12,30,0.2,1,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,300,100,40,1000,SYSTEM,,,,,,,,,,,,,,,666
Hammer-class Torpedo (Internal Stockpiles),LTA_hammer_repeating,0,,7500,1200,,1500,,30,10,8,3,,,HIGH_EXPLOSIVE,0,,0,45,1,,0,0,0,0,,500,40,4,350,"SYSTEM, STRIKE","strike5, rocket1",,,,Torpedo,Fast,None,,,,,,,TRUE,9.9
Annihilator Tube,LTA_annihilator_fighter_r,0,,7500,1500,,200,,5,30,6,12,0.2,3,HIGH_EXPLOSIVE,0,,0,10,3,0.075,20,45,10,1,,400,150,3.75,50,SYSTEM,"rocket13, strike8",,,,Pressure,Fast,None,,,,,,,TRUE,666
Annihilator Tube,LTA_annihilator_fighter_rmech,0,,7500,1500,,200,,5,30,6,24,1,6,HIGH_EXPLOSIVE,0,,0,3.3,1,0.075,0,10,2,0.5,,800,600,3.75,50,SYSTEM,"rocket13, strike8",,,,Pressure,Fast,None,,,,,,,TRUE,666
Swarmer SRM Launcher,LTA_swarmer_mech_fragmentation,1,,250,1000,,175,,5,50,4,2,0.3,2,FRAGMENTATION,0,,0,5,2,0.2,30,30,0,0,,450,400,3,50,"ANTI_FTR, DO_NOT_AIM, SYSTEM, DO_NOT_CONSERVE","utility8, missile0",,,,Anti Small Craft,Fast,Excellent,,,,,,,,666
Thermite Seeker Flare Launcher,LTA_thermiteseeker,,,,750,,250,400,20,,,,0,,ENERGY,0,0,0,0.1,1,0.1,90,90,0,0,,400,200,10,200,"SYSTEM, ANTI_FTR, USE_VS_FRIGATES, DO_NOT_CONSERVE",,,,,,,,,,,,,,,666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Annihilator Rocket Launcher,annihilator,0,,150,1500,,200,,5,30,4,50,,,HIGH_EXPLOSIVE,0,,0,5,5,0.2,0,0,0,0,,400,50,3.75,50,CONSERVE_1,"rocket7, strike0, missile_bp",,,,Anti Armor,Fast,None,,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapcracker Gun (1x400 Energy & 150 EMP),LTA_snapcrackergunL,2,,6000,1200,1,400,150,30,20,18,4,0.1,,ENERGY,500,,2,2.75,1,,0,5,1,10,,1200,,,75,"SYSTEM, CONSERVE_1","energy18, he17, kinetic17, strike0",,,,Anti Armor,,,,,,,,,,666
